ship-city,count
kharod,True
anakapalli mandal,True
machhlishahr,True
sevagram,True
taj nagri phase,True
banapur,True
puranpur,True
dogachhia,True
vadakkanandal,True
appakudal,True
tambaram chennai,True
bhandup,True
ghumarwin,True
atul dist. valsad,True
kymore,True
"kadri, mangaluru, dakshina kannada (d",True
kozhippilly parashalappady,True
devanur,True
trimbak,True
dombivli (w,True
alaipur,True
nandurbar district,True
madathukulam po,True
bhagha purana,True
chiniyalisaur,True
bomdila,True
dhulasimla,True
kuthanallur,True
at,True
bholar dabri,True
samayapuram,True
kandanadu,True
periyakodiveri,True
sindhanur,True
nanda,True
pukhrayan,True
vijaypura,True
vedanta,True
district,True
naini,True
kayatharu,True
salbari,True
vanagaram,True
vandiperiyar,True
budni,True
thenhipalam,True
dombvli west,True
devakottai,True
qutubullapur,True
islamnagar,True
bela,True
alwarkurichi,True
dakra,True
near shauchaley,True
laundi,True
kottagoundampati,True
thiruvarambu,True
thaikkattukara,True
madukkur,True
sirka,True
siddhaur,True
khargupur,True
nagod,True
bordi,True
satghara,True
swaroopganj,True
west singhbhum,True
pandamangalam,True
gairsain,True
dubbak peddagundavelli,True
bhilai durg,True
kharkhari,True
derapur,True
mithapur,True
bihta,True
bandipur,True
kalchini,True
vishakhapatnam,True
jalalabad shamli district,True
musheerabad,True
inderavelly,True
murugeshpalya bangalore,True
nevasa,True
goalghar port blair,True
nanded maharashtra,True
kayankulam,True
chungam,True
