ship-city,count
ugar khurd,True
kalkulam,True
aalo,True
behea,True
phirangipuram,True
balehonnur,True
perundurai,True
mansurpur,True
arkalgud,True
pathiyoor,True
rayaparthi,True
morjim,True
dharni,True
santaldih,True
meerut cantt,True
khaga,True
kaluahi,True
lakkavaram,True
kannad,True
kampur,True
sarangarh,True
biswan,True
thirumalairayan pattinam,True
mannanchery,True
dudahi,True
nandhaluru,True
barara,True
sanjan,True
choornikkara,True
naigoan,True
chalisgaon,True
ongallur ii,True
mohal,True
papparapatti,True
devikulam,True
chekkanoorani,True
panskura,True
bhikhiwind,True
waidhan,True
kanti,True
sukhsar,True
bhojpur,True
egattur,True
harindanga,True
nimapada,True
gopalnagar,True
nandapur,True
yemmiganur,True
nallur tirunelveli district,True
anushaktinagar,True
university,True
kalikiri,True
nawanshahar,True
vadamalpet,True
my home industries pvt ltd,True
sagore dist.dhar,True
sahibzada ajit singh nagar,True
raibareli,True
bethuadharai,True
sundernagr,True
bilhaur,True
shiggoun,True
nangavalli,True
ulundurpet,True
kunkuri,True
Ramalingapuram,True
koramangala bangalore,True
maniyar,True
janipur,True
khetri,True
annamalai,True
shankerpally,True
avalapalli,True
baif road wagholi pune,True
muhamma,True
mazbat,True
thriprayar,True
thiruparankundram,True
kakanad,True
mannarkkad,True
handwara,True
jambai,True
karuppur,True
perla town,True
anekal,True
ledo,True
keeranoor,True
