ship-city,count
vittal,True
kalghatgi,True
jhanjharpur,True
near counselor house basanti dey biswas,True
balikuda,True
nandgaon,True
kurduwadi,True
bareli,True
nawagarh janjgir,True
dalmau,True
manasa,True
keezhkulam,True
munagala,True
bihar,True
chaumuhan,True
pulimath kilimanoor,True
jaitpuri patelpara,True
uttar madarihat,True
jakholi,True
nileshwaram,True
gantyada,True
kampli,True
bareja,True
khairabad sitapur district,True
gahunje,True
new delhide,True
mahagma,True
new perungalathur,True
udaipurwati jhunjhunu,True
melli,True
vaddeswaram,True
lalkuan,True
nellithope,True
parikshitgarh,True
"ullal, deralakatte",True
kherwara chhaoni,True
govindpuram,True
jaitu,True
morazha,True
kanhan,True
oragadam,True
hemgir,True
chunchale,True
hyderabad secunderabad,True
pampore,True
kodarma,True
masi,True
daurala,True
narsingarh,True
rudraram,True
chittranjan,True
rajgarh churu,True
pulikkal,True
kathhara,True
miran sahib  jammu,True
kundarki,True
ranipur,True
khatra,True
utnur,True
nazerath,True
gangnapur,True
manipura dendoorkatte,True
sandila,True
likabali,True
yendada,True
alampur,True
ponneri. chennai,True
sikri kalan,True
swarupnagar,True
"bapunagar,ahmedabad",True
kuttemperoor,True
chakluwa,True
chennithala,True
singur,True
koheda,True
chakrata,True
raninagar ii,True
vijalpor,True
vile,True
thiruchendur,True
barauli,True
madhugiri,True
vennanthur,True
jairampur,True
marudur,True
"bhamragad, gadchiroli",True
city & mandal : koratla ;(district: jagtial dist.,True
