ship-city,count
narsapur,True
payambra,True
thiruninravur,True
chharchha,True
mokama,True
amgaon,True
khirkiya,True
banumukkala,True
kushberia,True
nhangattiri,True
wazirabad,True
naharlgun,True
gormi,True
nalasorapra (e,True
jainoor,True
achalpur,True
hanskhali,True
girinagar,True
arasu,True
lucknown,True
padampur,True
fatehgarh churian,True
kadambathur,True
kevadiya,True
kelveroad,True
thrithala,True
rajasunakhala,True
thiruvottiyur,True
jengjal waribok,True
kannadiparamba,True
mount abu,True
pattabiram,True
muttukuru,True
bangarupalyam,True
kooraikundu,True
kanjikkuzhi,True
thiruvallam,True
puthukdai,True
khekada,True
new ashok nagar,True
Dehradun,True
baikunthpur,True
behat,True
"bhugaon, pune",True
sariya,True
pedapadu,True
komalapuram,True
arpora,True
"laxmi nagar, delhi",True
shankarpuri,True
kutukuluru,True
kulasekarapuram,True
nk sweets vikasnagar,True
marathakkara,True
alangayam,True
jamakhandi,True
seoni malwa,True
bileipada,True
rangaareddy,True
peralam,True
kulanada,True
merta,True
barakar,True
kallambalam.o,True
chogawan,True
chikamagalur,True
barahat,True
talaja,True
kolimigundla,True
nagla,True
anjangaon surji,True
district:,True
moodabettu,True
thirupparankundran,True
paramathi,True
hirapur,True
bari,True
julurupadu,True
baliya,True
andar,True
makthal,True
khumani chowk,True
chipurupalle,True
velachery,True
melpattampakkam,True
kalyan w dist thane,True
new delhilhi,True
