ship-city,count
"kulayankarisal,thoothukudi district",True
nandigram,True
puthenchira,True
kulti,True
parli,True
fatehganj pashchimi,True
jalagandapuram,True
kosigi,True
chengelpet,True
mayur vihar,True
pachwad,True
jamjodhpur,True
santacruz,True
babai,True
lahar,True
rahatani,True
kachhrahwa tola,True
pedavegi,True
thirupuvanam,True
banarpal,True
parra,True
jalandhar cant,True
pappinisseri,True
dudhnai,True
kala amb,True
halhali,True
dramapur,True
rani block,True
pandakasala chirayinkizh,True
ghanpur,True
narendrapuram,True
muthukadu,True
mallappally,True
udala,True
nungambakkam,True
kadayanallur,True
manuguru,True
gariyadhar,True
dstr,True
karamuck,True
kauntarpur,True
muthialpet,True
madangad,True
sareni,True
umaria,True
pomburpa,True
gargeswari,True
chentrappini,True
koraon,True
puliyampettai,True
tirutani,True
bighapur,True
paranda,True
vedaranyam,True
pithampur,True
nilanga,True
di,True
kanjikode,True
panoli,True
purusottampur,True
thrikakkara,True
rampura,True
gautam nagar,True
kazhakoottam,True
carmona,True
kuttipuram,True
mallanwala,True
vadnagar,True
ballabhgarh,True
chinnathadagam,True
karari,True
kallakudi,True
uska bazar,True
ichak,True
sankrail,True
borawar,True
vattapoyil,True
sakaldiha,True
padra,True
venkitangu,True
sitarampur,True
mehatpur,True
i polavaram,True
malapuram,True
indrapuri,True
muthupet,True
jalaun,True
