ship-city,count
vaduvanchal,True
bhimtal,True
kottayampoil,True
nadakuduru,True
halvad,True
nagri kalan,True
padoor,True
kanjiramkulam,True
jarwal,True
kilvelur,True
nadakkavu,True
"palarivattom, ernakulam",True
sheosagar,True
maurawan,True
damua,True
badnagar,True
surajgarha,True
podili,True
kakdwip,True
badkulla,True
nangloi,True
bansi,True
ajaygarh,True
hulsoor,True
vedasandur,True
dhaniakhali,True
tadepalli mandal,True
gmr power plant kmalanga township,True
adityana,True
athur,True
mira bhayandar,True
virpur,True
nalanda,True
bagnan,True
korukonda,True
akash,True
kengeri,True
thank,True
guduvancherry,True
arakandanallur,True
pedapadu mandal,True
edappadi,True
"mehadipatnam ,hyderabad",True
rupbas,True
savlem pilerne,True
bommuru rajahmundry,True
yamuna vihar,True
palakonda/srikakulam(dist,True
madavoor,True
prakasam,True
bramhapuri,True
vidyanagar,True
gopalapuram,True
amlohri,True
mehidpur road,True
belthangadi,True
dhamnod,True
kumher,True
rupra road,True
sahaswan,True
bansdih,True
vpo,True
old mathigiri,True
tikari,True
murtajapur,True
banur,True
gollaprolu,True
karhal,True
chigur,True
thallur,True
amarpatan,True
khetri nagar,True
kotulpur,True
medziphema,True
guduvancheri,True
ghoghardiha,True
"kothapalle, e.g.dt",True
bhakali,True
veiloor,True
addision,True
trivarndrum,True
nereducherla,True
bikapur,True
tisk,True
mathurapur,True
adajan,True
malshiras,True
