ship-city,count
chettuva,True
nandej,True
chirch,True
zakiesato,True
tirodi,True
balipara,True
darjiling,True
hyd,True
amadalavalasa,True
dhanualti,True
matelli,True
thekashu pt ii,True
nooranad,True
chandurbazar,True
uthukuli,True
tirumangalam,True
usmanpur,True
madappally college,True
mahe,True
valavanur,True
koothanallur,True
padubidri,True
alawalpur,True
"ramapuram, pala, kottayam",True
muppathadam,True
imphacity,True
athvelly,True
pihani,True
calicut,True
c.c.c naspur,True
anakkayam,True
sirmaur,True
tilda,True
gotan,True
corlim,True
"mumbai,malad  east",True
laksar,True
kotabammali,True
shedbal,True
venginissery,True
bhanpura,True
tsundur,True
vizhinjam,True
ellora park,True
vagra,True
edat,True
palus,True
erattayar,True
edakkode,True
dharangaon,True
chhaya,True
sukhrali sec,True
kaveripakkam,True
rengali,True
jogbani,True
ahmedanagar,True
madgaon,True
tikarpada,True
muthur,True
hapoli,True
shahabad hardoi district,True
nashik road,True
junga,True
barmana,True
bhiloda,True
chandapura,True
goura,True
devrukh,True
titilagarh,True
vrindavan     {mathura},True
sopore,True
kaggalipura,True
kizhuvalam koonthalloor,True
mowad,True
sarni,True
sankari(t.k,True
atkot,True
phulpur azamgarh district,True
karkamb,True
banguwan kalan,True
ambepur,True
tal. shahapur,True
chitvel,True
khliehriat,True
raighar,True
kalmassery,True
korutla,True
