ship-city,count
paremari road,True
sullurpeta,True
nandikotkur,True
zirakhpur,True
north paravur,True
jagiroad,True
cherukolpuzha,True
mangon,True
mudipu,True
gandidham,True
kollengode palakkad,True
movva. mandal,True
saunda,True
nutakki,True
kovoor,True
sathankulam,True
amlai,True
mehnagar azamgarh,True
sarangpur,True
narpatganj,True
mulur,True
borai,True
barhaj,True
dariyabad,True
beyond,True
ajekar,True
clappana,True
park city,True
bhulepur,True
gurgoan,True
atarra,True
mangalwedha,True
shakti nagar ntpc township,True
alirajpur,True
rayya,True
mukkam,True
irala,True
savli,True
sancoale,True
kamorta,True
pothavaram,True
kaniha,True
thirupparankundram,True
garhakota,True
mellacheruv,True
sonepat,True
chhachhrauli,True
koppam,True
khansahib,True
lawngtlai,True
thundalam,True
peramangalam,True
baloh,True
"naini, allahabad",True
jamtaraj,True
bharsingi,True
karanpur,True
p.o chettipadi,True
keelakarai,True
haleangady mangaluru,True
bachupally,True
"shankargarh, district",True
ambad,True
daddi,True
dhalavoipuram,True
"pattambi,palakkad",True
ernad,True
rajarhaat,True
pokharan road,True
kurattikadu,True
shaktigarh,True
miranpur,True
leimakhong,True
bakani,True
dhubulia,True
"perumbavoor,maruthukavala",True
umbargam,True
silapathar,True
mahagama,True
borka,True
amangal,True
karanja (laad,True
"nani daman,daman",True
neeralagi,True
varthegundi,True
saiyad raja,True
jansath,True
