ship-city,count
rajar hat,True
bihar sharif,True
po,True
awantipora,True
paria,True
ramanujganj,True
ambernath east dist thane,True
barapali,True
saoner,True
arvi wardha,True
naranapura,True
khurja(bulandshar,True
range reddy dist,True
kuruppapady (via,True
"khadki,pune",True
balumath,True
andal,True
niyotni,True
kalyan (east,True
okhaport,True
basudebpur/bhadrak,True
nai ledri,True
jhakhri,True
tatasu mazadi,True
uttarnayabad,True
swamimalai,True
eramalloor,True
chebrole,True
hanmakonda,True
sundrel,True
"mettur,salem",True
kathar,True
bamora,True
atreyapuram,True
karnawal,True
bishrampur,True
binpur i,True
vipin,True
anta city,True
hotar,True
chand,True
near vighnaharta ganesh mandir,True
patharberia,True
sanganapuram,True
"eratupetta,kottayam(district",True
basudebpur murshidabad district,True
kumaragiri,True
wankaner,True
thazhakara,True
silliguri,True
methermia,True
purbo medinepur,True
kosli,True
kurundvad,True
digapahandi,True
madikonda,True
camurlim,True
chincholi,True
kahnuwan (gurdaspur,True
endada/vishaka patnam,True
ballikurava,True
pulivendhula,True
kazipet,True
khaperkheda,True
kamatgi,True
panangad,True
anaimalai,True
madanpur rampur,True
shivmogga,True
garodoba,True
kedgaon,True
neelbad,True
hebri,True
gidi,True
serampur,True
khutar,True
balichak,True
revdanda,True
devarkadra,True
byadgi,True
salkia,True
simlapal,True
nazirpur,True
cheepurupalli,True
ujhani,True
paderu,True
baner,True
