ship-city,count
allavaram,True
mahadeopur,True
acharapakkam,True
holehonnuru,True
jakhalmandi,True
wakad,True
kesopur sathla,True
kodannur,True
jawhar,True
dataganj,True
allapra,True
kasrawad,True
nandivaram-guduvancheri,True
puthuparamba,True
near district jail,True
marihan,True
sindagi,True
davorlim,True
tirumakudalu narasipura,True
mudkhed,True
unknown,True
thalakkulathur fresh bakery,True
surgana,True
tonto,True
banthra,True
akathiyoor,True
koothattukulam,True
ranipool,True
thimmanapalem,True
ranikor,True
lanja,True
gangarampur,True
channgiri,True
tripuranthakam,True
dabbaspet,True
peddapally,True
muttam,True
nasiyanur,True
narasaropet,True
gardhiwala,True
chelari,True
hanuman nagar,True
sojat city,True
aluru,True
mehgaon,True
uttan,True
nalikul,True
tekulapalli,True
faridpur,True
koduvayur,True
anjani portland cement factory,True
sea woods,True
duvva,True
kundam,True
kirpind,True
basudebpur,True
amdanga,True
rudranagar,True
mukanpur,True
lakhni,True
kattangal,True
mangapur,True
bandoan,True
hatkanangle,True
ukhra,True
satwas,True
mustafabad,True
dharmaj,True
durganagar,True
maigal ganj,True
perungalathur,True
bijainagar,True
kunda,True
"kottakkal, malappuram",True
mumbai mumbai,True
manglaur,True
raver,True
pedaamiram,True
waghai,True
manjhana,True
ponmanai,True
nizar,True
gossaigaon,True
banaganapalle,True
kundli,True
dabi,True
palakkarai,True
