ship-city,count
sarkaghat,True
nandgaonpeth midc,True
nawabganj gonda district,True
madapura,True
saharsha,True
veerappanchatiram,True
"madhapur, hyderabad",True
pune yerwada,True
midnapore,True
teh. dharamshala,True
sidco industrial estate badanguppe kellambali,True
shahganj,True
vellayani po,True
mavelikara,True
annamanada,True
sukdal,True
manavalassery,True
kannod,True
ponneri tk,True
bahaduargarh,True
jamadoba,True
kathlal,True
bharatganj,True
huliyar,True
kalamasserycochin,True
asarganj,True
dagshai,True
argul,True
uppalaguptam,True
chegunta,True
lamlai,True
chelannur,True
kadamakkudy,True
dhasai,True
khirai,True
mylaudy,True
satpuli,True
naubatpur,True
thrikkaruva,True
hadapsar,True
kotma,True
keshampet,True
vadavali,True
mendhar,True
tasawade midc,True
thergaon,True
seelanaickenpatti,True
rajakkad,True
ludhianaludhiana,True
eramala,True
budamangalam,True
chevuturu,True
olaulim pomburpa,True
"n l road, dimapur",True
vandavasi,True
duldula,True
vypin,True
simga,True
velankanni,True
gingee,True
thazhecode,True
kanathur,True
panathur,True
ithepalli,True
nababpur,True
kurwai,True
peint,True
hajarmachi,True
kalamjote,True
goppenahalli,True
garhi harsaru,True
chamkaur,True
sevaliya,True
malatipur,True
sonai town,True
padne,True
chitrada,True
kunigal,True
tezpur chandmari,True
kotkhai,True
ramavarmapuram,True
thurangam kavala,True
udayagiri,True
kutiyana,True
rup nagar,True
saraipali,True
kalakote,True
