ship-city,count
fatehpur district,True
district fatehabad,True
pakhanjur,True
ellenabad,True
buhana,True
kathiar,True
silvasaa,True
nagpur city,True
kotananduru,True
heroor,True
akkalkuwa,True
tindivanam villupuram district,True
kandanassery,True
godavarikhani,True
pandavapura,True
dehu cantt civil township,True
banmankhi bazar,True
"betim,  bardez",True
p. o. cherpu,True
kasibugga,True
paithan,True
katigorah,True
"patto,  panaji",True
vadugapatti,True
noidanoida,True
koyilandy,True
jalalpur,True
adarsh,True
kalady ernakulam district,True
seawood east navi mumbai,True
nermand,True
sainik school,True
ghatsila,True
rajendranagar,True
vadali,True
alappuzha district,True
pudukad,True
roshnabad,True
baga,True
kolar gold fields,True
santhamaguluru,True
nellorenellore,True
ala,True
kolayat,True
portbair,True
jais,True
tnpl pugalur,True
tittakudi,True
sethiathoppu,True
umarkhed,True
kumbabad,True
peddamaddhuru,True
thane central,True
kaghaznagar.,True
arumanai,True
avittathur,True
kaniyur tiruppur district,True
garh kamalpur,True
puliyur,True
gola cholapur varanasi,True
rampur bushahr,True
sikta,True
sakhinetipalle,True
kodoli panhala,True
ghorawal,True
kakdihi,True
rasagobindapur,True
kavaratti,True
aranthangi,True
s n puram,True
lakhna,True
iffco,True
"kothrud,pune",True
naspur,True
kalinagar,True
sarwar,True
sagalee,True
bheem,True
kulasekaram,True
yazali,True
bemili,True
thonnakkal,True
"mulund east, mumbai",True
gomoh,True
kowkoor,True
ripponpete,True
thookkanaikampalayam,True
