ship-city,count
jattari,True
villiappally,True
"nannambra,( po",True
ichoda,True
hanumakonda,True
kurmannapalem,True
tarnaka,True
gokarna,True
nellikuppam,True
akole ahmadnagar district,True
belgharia nimta,True
satyavedu mandal,True
bodri,True
babra,True
punnayur,True
rajbalhat,True
cheranmahadevi,True
lakhnadon,True
manpur,True
pedaparupudi,True
panchpara,True
taki,True
sandi,True
bhor,True
kuppepadav,True
elettil,True
shravasti,True
vannappuram,True
jagatdal,True
mekkamandabam,True
melmaruvathur,True
chalakkal,True
panikoili,True
"neral east, karjat raigad",True
pandaria,True
kolar gold field,True
dirba,True
arnod,True
kirnahar,True
nibra,True
sasni,True
swaraj dweep,True
"barang, dadhapatna",True
khandapara,True
ramghar,True
natham,True
pipariya dist. hoshangabad,True
"patas , district daund, puna",True
nagarbasti,True
charama,True
adambakkam,True
krishnapur,True
middha,True
vandipettai,True
tharamangalam,True
periyamanali,True
siriyasar,True
rethare,True
venjarammoodu,True
dharmasthala,True
irakasandra,True
denduluru,True
t,True
vishrambag,True
thondi,True
kanth moradabad district,True
baldwara,True
mogaltur,True
roorkee or meerut,True
harveypatti,True
"madikeri,kodagu",True
pampalner,True
gua,True
thalayolaparambu,True
nelluvai,True
thirugokarnam,True
derlakkatte,True
vasai(west,True
bettiyah,True
ausa,True
tamia,True
chunkankadai,True
jakhaura,True
tallapudi,True
laukaha,True
mansa,True
kangeyam,True
