ship-city,count
malad west,True
vedurupaka,True
atru,True
koperkhairane,True
sheohar,True
kadapara,True
agorpara,True
kandikandi,True
rajmahal,True
"udhampur ,jammu kashmir",True
karatagi,True
badsar,True
garbeta,True
pachore,True
lalganj azamgarh,True
thergoan,True
sarona,True
taliegao,True
ambernath west,True
nathampannai,True
chi,True
haveli,True
sivagangai,True
saligram,True
narnaund,True
vilanthai,True
goredi chancha,True
khopoli-pali road.mh,True
vriddhachalam,True
balarampur,True
kalasapakkam,True
kondapuram,True
dahanu west,True
waknaghat,True
thiruvallom,True
kandra,True
peroorkada po,True
ron,True
tagarapuvalasa,True
thirupuvanam sivaganga district,True
pangode,True
laxmi nagar,True
guruvayoor,True
kondur,True
kadugodi,True
nilagiri,True
sara industrial estate,True
omalur,True
kharora,True
kanagal,True
gogunda,True
kumardhubhi,True
halishar,True
jayankondam,True
porumamilla,True
basudevpur,True
palasbari,True
nagalapuram,True
tharangambadi,True
sarmathura,True
thiruvananthpuram,True
"rajpur sonarpur ,kolkata ,india",True
kaimur,True
manalurpet,True
thallapalem,True
vadalur,True
maham,True
panisagar,True
dudhi,True
ayyampalayam,True
maheshpur,True
jogindarnagar,True
sangam,True
gr. noida,True
godavari,True
murmadi,True
khodiyar,True
sonebhadra,True
maslandapur,True
pirawa,True
surathkal,True
parasuvaikkal,True
brg shangri,True
dombivli east  thane,True
patalganga,True
tikabali,True
mursan,True
