ship-city,count
dalgaon,True
dighwara,True
kuvettu,True
aundh,True
champakulam,True
puzhakkal,True
bhanger,True
panchgram,True
peravali,True
selu,True
tiruvalla,True
koithoorkonam,True
edathirinji,True
vadakarai,True
bhainsdehi,True
badmal,True
sihora,True
paripally,True
thirthahalli,True
motbung,True
pipraich,True
limdi,True
nandi,True
jhingurda,True
modak,True
"pimple saudagar,  pune",True
bidhuna,True
luxettipet,True
rasol,True
wadrafnagar,True
hanagandi,True
laharighat,True
jagasinghpur,True
patiram,True
orgao,True
slepur,True
dhanaulti,True
korochi,True
ramganjmandi,True
balimela,True
khair,True
kidangoor,True
vellangallur,True
lavasa,True
naduvaneri,True
nasrullaganj,True
dubbak,True
raghunalhi bcmc layout,True
seraulim,True
thane.  mumbra,True
belda,True
varanai,True
bakulia,True
jamuria,True
dokmoka,True
town,True
jamner,True
chandrakona,True
meenadom,True
sangameshwar,True
perintalmanna,True
pandripani,True
nakkapalle,True
nereducharla,True
mohopada,True
jahanabad,True
bijuri,True
westparasi,True
banasthali,True
dhariawad,True
saligrama,True
thallarevu,True
yol,True
patoda,True
nepanagar,True
gaur city,True
"rourkela , dist",True
dhanyakuria,True
puthoor,True
jeelugu milli,True
barhi,True
solamadevi,True
katrenikona,True
bangalore city,True
bopodi,True
kamatchipuram,True
sion,True
