ship-city,count
azara,True
kalapatti,True
kulasekharapuram,True
manamadurai,True
dharmaram karimnagar district,True
siddharthnagar,True
puvalur,True
champaran,True
kadapra niranam,True
mallanwala khas/ferozepur,True
chennimalai,True
kandhar,True
mummidivaram,True
perambra,True
baithalangso,True
elgaid,True
kallakuruchi,True
kalugumalai,True
"barh, patna",True
orang,True
umreth,True
mundlamuru,True
manadan house,True
pampady,True
gogipeth,True
chhaprauli,True
kantabanji,True
farrukh nagar,True
hindaun city,True
bikram,True
choppadandi,True
merrut,True
mohpa,True
t.narasapuram mandalam,True
maudaha,True
kemri,True
ramapuram,True
phoolpur,True
sompeta,True
madappally,True
devdhari,True
pansemal,True
lalgudi,True
nayathode,True
dungargarh,True
puduchatram,True
ganpatipule,True
chilkur,True
rajura,True
chirang,True
chandlodia,True
thakkolam,True
masuda,True
nowshera,True
kabrai,True
kirtinagar,True
kasheli,True
dohrighat,True
bhawani mandi,True
mul,True
piali,True
chitpadi,True
gohpur,True
yapral,True
bastora,True
dabolim,True
navasari,True
akluj,True
raha town,True
senapati,True
kasegaon,True
deganga,True
sridungargarh,True
radhanpur,True
nandura,True
baram,True
kornepadu,True
udyogamandal,True
seraikella,True
ladwa,True
parola,True
khedbrahma,True
panniyannur,True
gundimeda,True
naduvattam,True
doimukh,True
thuckalay,True
