ship-city,count
hansari jhansi,True
. p. m. b sarani,True
"pala, kottayam",True
ambalapuzha,True
bantwa,True
kartarpur,True
"bhakali, rewari",True
manjummel,True
thirukazhukundram,True
lilia,True
fatehpur pundri,True
vasad,True
shirhatti,True
moti bhoyan,True
kottapuram po,True
palghar( east,True
chazhoor,True
alwarpet,True
nelamangala bangaluru,True
chandrupatla,True
distt shamli,True
karimanagar,True
kalladaikurichi,True
"mainaguri, jalpaiguri",True
thane(w),True
puthanathani,True
sadulshahar,True
kakimada,True
kiraoli,True
hutmura,True
bagda,True
falkawn,True
"palayamkottai ,tirunelveli",True
durah,True
edachira,True
sivagiri,True
assonora,True
sonitpur,True
janjgir champa,True
palari,True
bairgania,True
gudlavalleru,True
suleeswaranpatti,True
raisinghnagar,True
biknoor,True
hyhyderabad,True
"maniyankuzhi, kanyakumari",True
narayankhed,True
ryali,True
timiri,True
jhanjharpur rs,True
champa,True
raja sansi,True
"north paravur,ernakulam",True
keelamanjakudi,True
asind,True
kanchikacharla,True
natthuwa wala,True
haroa,True
alappuzha harippad,True
aspur,True
athni,True
boinchi,True
kalwari,True
baben,True
erumappetty,True
egarkunr,True
yellanur road tadpatri,True
ainavilli,True
tapovan laxman jhula rishikesh,True
kongorpilly,True
champua,True
panipat road,True
pandaria kabirdham,True
maniyur,True
srirama colony,True
athani,True
bankapura,True
kanuru,True
ambarnath (west,True
jawalamukhi,True
peyad,True
dhania,True
bhisiana,True
rashid market,True
shirol,True
edappally north,True
