ship-city,count
anantpur,True
cortalim,True
machhali shahar,True
neelipudi,True
edulamustoor,True
madanapalli,True
bhogapuram,True
garugubilli,True
haringhata,True
thoraipakkam,True
opposite to sri mookambika temple kollur,True
lakhani,True
bilsi,True
okha,True
"ankleshwar, dist",True
khatav,True
vakadu(m,True
motebennur,True
manjlegaon,True
pimpri gav,True
sant kabirnagar,True
p.o.chirakkal,True
p.o.,True
bamor,True
damdim,True
adyal,True
rupangarh,True
kanakammachathram,True
dinabandhunagar,True
lingsugur,True
allapalli,True
amtady,True
nimbhore budruk,True
srivilliputtur,True
mandrem,True
kudra,True
jamugurihat,True
ghodegaon,True
lala,True
mahad midc,True
chabua,True
kathghariya,True
mellahalli,True
palakurthy,True
mathabhanga,True
"loni, ghaziabad",True
hanumangarh junction,True
distt.shimla,True
pedapalli,True
mundiyeruma,True
madathukulam,True
lepetkata,True
kalavoor,True
pulamanthole,True
gangakhed,True
nichlaul,True
humnabad,True
bhatgaon,True
kalady,True
anupgarh,True
kuzhupilly,True
valvaithankoshtam,True
baliapur,True
kundgol,True
narla,True
kalladikkode,True
razam,True
raha,True
"banaswadi, bengaluru",True
marteru,True
bandarulanka,True
elayavoor,True
bahadurpur,True
todaraisingh,True
chinnaveerampatti,True
unnamalaikadai,True
"nagaon , north haibourgaon",True
penamaluru,True
wadakancheri,True
sonada,True
hirakud,True
dhupguri,True
"mulund, east mumbai",True
"bodinayakanur, theni dt",True
"mumbai, mulund (w",True
karnaprayag,True
bhiwapur,True
