ship-city,count
hejamadi,True
bagodar,True
varanas,True
banga,True
nilgiris,True
kognoli,True
"opposite jains public school,thirumudivakam",True
namchi south sikkim,True
tirumakudal narsipur,True
gudiyatham vellore,True
vallabhipur,True
bibinagar hyderabad,True
ponnampet,True
beet bazar,True
ratanpota,True
koilakuntla,True
barasst,True
mudalgi,True
manendragarh,True
panagudi,True
allipur,True
convoy,True
bhuragaon,True
kashinagara,True
kharkhauda,True
ulundurpet tk,True
kaprain,True
lateri,True
rohtas,True
ranapur,True
kesarval,True
vellichantai,True
bagaha,True
chenai,True
kaman,True
omaxe new chandigarh,True
kullukullu,True
p. s.  duttapukur,True
lonand,True
kim,True
edapally north po,True
mandi gobindgarh,True
cherupuzha,True
"pub daniram pather,hojai",True
sampla,True
diyun,True
shegaon bk,True
police station,True
rajarhat gopalpur,True
kancheepuram district,True
gorumahisani,True
kaikaluru,True
"chenghlepet taluk, kancheepuram dt",True
boko,True
thirumanagalam madurai,True
sahawar,True
tuchamakeri,True
agarwada,True
kolathur,True
erodeerode,True
"pimple saudagar, pimpri",True
jarwa road tulsipur,True
jajur road,True
"malkajgiri, hyderabad",True
school line,True
naya baradwar,True
dombiwali (e,True
jat,True
bengaluru;,True
nerul (east,True
pallakad,True
lagola,True
bijauli industrial area,True
"pattambi, palakkad",True
mira bhayander,True
kanyakumari district,True
chhipabarod,True
harij,True
mahasla,True
pallikunnu (p o,True
niali,True
sriperumbudur ph:,True
kathgodam (haldwani,True
"rajpura town, dist patiala",True
"mettur, salem",True
"mambakkam, chingleput dist",True
