ship-city,count
ghughuli,True
thiruvanamalai,True
baberu,True
khapat,True
mehandipur,True
ratanpur,True
rahui,True
thiroor,True
rayabhupalapatnam,True
bopal,True
pattambi palakkad,True
mydukur,True
dhanori,True
tehatta,True
chakapara,True
palurgada,True
thorapadi,True
sikandra,True
badnapur,True
balapur,True
achhnera,True
tri nagar,True
panitola,True
"maduravoil,chennai",True
mannancherry,True
bakshi ka talab,True
tiruchanur,True
opposite air force station,True
engandiyur village,True
talcher thermal power station township,True
limla,True
dhar kalan,True
rawalsar,True
vikramgad,True
sonatikiri,True
pasan,True
mendipathar,True
"mitrol,palwal",True
bantwal t.q,True
olpad,True
manesar pachgaon,True
thiruvegappura,True
polur taluk,True
chandil,True
pallikkal,True
kundrathur chennai,True
vikramasingapuram,True
lehragaga,True
basoda,True
vennala,True
maruthancode,True
aligang,True
munderi,True
"krishnaraja nagara, mysore",True
sadabad,True
gola,True
yernagudem,True
chamoli,True
miryagudem,True
dukli,True
todabhim,True
kalanad,True
chettipalayam,True
udangudi,True
lalganj azamgarh u. p,True
ambagarh chowki,True
bidasar,True
tanalur,True
waraseoni,True
shela,True
sagri,True
gird baragaon,True
yenamadurru,True
kalpakkkam,True
hajo,True
goliyangdi,True
kuruli,True
lanjigarh road,True
vasant,True
tola mansaraut,True
bodeli,True
konch,True
sonpeth,True
wadhwan,True
melmanavoor,True
dhauli payu ...mathura,True
gangapur,True
