ship-city,count
loni ghaziabad,True
bassi pathana,True
seithur,True
balugaon,True
premgadh ta. jetpur,True
ichhawar,True
mumbai's,True
thilaspet,True
dhana,True
sulakkarai,True
kamalapuram,True
bhubaneswarb,True
electronic city phase,True
cherkala,True
thirvallur district,True
muttayyapuram,True
chirayankil,True
kothavalasa,True
mohanur,True
yoi cantt,True
santrampur,True
bhawan bahadur nagar,True
cherrapunji,True
moshi,True
n.paravoor,True
ariyalur d.t,True
sidhpura,True
darbhnga,True
salon,True
tottakkattukara aluva,True
munagapadu,True
mahad (raigad,True
bara gaon,True
panpoli,True
adityapur,True
kurkheda,True
mahalingpur,True
jalundh khambhat,True
kasol,True
mehnagar,True
amballur,True
vayasanagar,True
malnaka ratnagiri,True
hingna/nagpur,True
kalayn,True
gopiganj,True
banki barabanki,True
sahatwar,True
tanaloor,True
alleppey,True
deralakatte/ mangalore,True
kokkata,True
zionpuram,True
badlapur road,True
anil neerkonda hospital,True
umargam,True
vanavasi,True
kachhwa,True
ambegaon,True
"kovaipudur, coimbatore",True
rahuri factory,True
krishnarajanagara,True
dachepalli,True
etha,True
miraroad,True
labhpur,True
hiramandalam,True
bhayandar (west,True
"pudupattinam,kalpakkam",True
mecheri,True
narharpur,True
rania,True
"belgharia,kolkata",True
sivsaghr,True
moodubelle,True
jp nagar,True
pakwara,True
visakhapaynam,True
matampally,True
bhojipura,True
"raghunathpur, purulia",True
goindwal,True
bhilai charoda   dist,True
banagalore,True
hauz khas,True
kadaba,True
tripunitra,True
