ship-city,count
yemmiganur,True
madappally,True
chitpadi,True
koothattukulam,True
pandakasala chirayinkizh,True
banthra,True
anantpur,True
duvva,True
motebennur,True
uttan,True
dabbaspet,True
cortalim,True
tripuranthakam,True
davorlim,True
tirumakudalu narasipura,True
mudkhed,True
padra,True
unknown,True
thalakkulathur fresh bakery,True
surgana,True
tonto,True
sindagi,True
gohpur,True
yapral,True
bastora,True
pansemal,True
nayathode,True
dungargarh,True
puduchatram,True
ganpatipule,True
chilkur,True
devdhari,True
rajura,True
chandlodia,True
thakkolam,True
pipiganj,True
masuda,True
nowshera,True
kabrai,True
kirtinagar,True
kasheli,True
lalgudi,True
jalandhar cant,True
prantij,True
dohrighat,True
dabolim,True
navasari,True
akluj,True
piali,True
raha town,True
kasegaon,True
kandaghat,True
sridungargarh,True
radhanpur,True
baram,True
kornepadu,True
ganguvarpatti,True
senapati,True
bhawani mandi,True
chirang,True
sea woods,True
anjani portland cement factory,True
koduvayur,True
mahadeopur,True
holehonnuru,True
cheepurupalli,True
manuguru,True
anakapalli mandal,True
kesopur sathla,True
kodannur,True
jawhar,True
dataganj,True
allapra,True
kasrawad,True
nandivaram-guduvancheri,True
wakad,True
muthialpet,True
sareni,True
umaria,True
acharapakkam,True
allavaram,True
salkia,True
baner,True
sarangarh,True
dombvli west,True
