ship-city,count
sindhanur,True
nanda,True
khatav,True
paria,True
khurja(bulandshar,True
murum,True
deralakatte,True
kothapalle,True
pappinisseri,True
dudhnai,True
kala amb,True
thrikakara,True
tathawade  pune,True
naidupeta,True
halhali,True
hukeri,True
dramapur,True
rani block,True
parra,True
chitranjan,True
mayur vihar,True
konni,True
banarpal,True
chengelpet,True
pallikoda,True
duliajan no,True
kalpeni,True
padmapur,True
bahadarabad,True
pachwad,True
santacruz,True
babai,True
lahar,True
rahatani,True
kachhrahwa tola,True
pedavegi,True
thirupuvanam,True
nilakkottai,True
jamjodhpur,True
north kalamassery,True
"kulayankarisal,thoothukudi district",True
palta,True
udyogh vihar,True
torangallu,True
p.o.,True
punnayur,True
dirba,True
arnod,True
kirnahar,True
nibra,True
sasni,True
swaraj dweep,True
"barang, dadhapatna",True
kolar gold field,True
khandapara,True
guntur  district,True
pareo,True
natham,True
pipariya dist. hoshangabad,True
kosigi,True
muniyappan kovil,True
vishrambhag,True
bakhri,True
nawabganj,True
gadarpur,True
firozpur cantt,True
pandhana,True
surada,True
moran,True
riico industrial area gudli,True
nandigram,True
puthenchira,True
jadugora,True
kulti,True
parli,True
fatehganj pashchimi,True
jalagandapuram,True
sangole,True
sarisha,True
lawan,True
naranapura,True
sakaldiha,True
"peringara p o,tiruvalla",True
kallakudi,True
venkitangu,True
mehatpur,True
