ship-city,count
khopoli-pali road.mh,True
"bhugaon, pune",True
"laxmi nagar, delhi",True
kulasekarapuram,True
barakar,True
chogawan,True
bileipada,True
achalpur,True
kelveroad,True
pattabiram,True
kooraikundu,True
nereducherla,True
narnaund,True
guduvancheri,True
belthangadi,True
ayyampalayam,True
moodabettu,True
melpattampakkam,True
karanja (laad,True
kaniha,True
thirupparankundram,True
garhakota,True
mellacheruv,True
sullurpeta,True
paremari road,True
new delhilhi,True
julurupadu,True
gandidham,True
movva. mandal,True
saunda,True
mehnagar azamgarh,True
jamtaraj,True
sadha khemaji tola chapra,True
howajan,True
avadi,True
pudupalayam agraharam,True
kumher,True
thiruvegappura,True
engandiyur,True
ajaygarh,True
venginissery,True
edakkode,True
bhanpura,True
"mumbai,malad  east",True
phulpur azamgarh district,True
nashik road,True
vizhinjam,True
melmanavoor,True
gird baragaon,True
waraseoni,True
thekashu pt ii,True
bantwa,True
kalmassery,True
ambepur,True
limla,True
vennala,True
"kothapalle, e.g.dt",True
sarni,True
chandapura,True
konch,True
khliehriat,True
korukonda,True
tadepalli mandal,True
thank,True
vaduvanchal,True
yamuna vihar,True
maurawan,True
gahunje,True
dalmau,True
muppathadam,True
bihar,True
singur,True
vile,True
vennanthur,True
sikri kalan,True
banguwan kalan,True
hyd,True
dariyabad,True
gurgoan,True
bhawan bahadur nagar,True
jalalpur,True
naspur,True
s n puram,True
kavaratti,True
kolayat,True
garh kamalpur,True
