ship-city,count
"mulund east, mumbai",True
bhayandar (west,True
rajendranagar,True
mustafabad,True
durganagar,True
sivsaghr,True
rania,True
narharpur,True
"pudupattinam,kalpakkam",True
hiramandalam,True
thonnakkal,True
etha,True
visakhapaynam,True
matampally,True
district fatehabad,True
pakhanjur,True
yazali,True
bemili,True
lakkavaram,True
rahuri factory,True
sonepat,True
"kovaipudur, coimbatore",True
banki barabanki,True
kokkata,True
kamatgi,True
kachhwa,True
edappally north,True
shirol,True
rashid market,True
dhania,True
dhana,True
cherkala,True
chirayankil,True
santrampur,True
moshi,True
bhulepur,True
atarra,True
rayya,True
savli,True
amballur,True
mehnagar,True
bara gaon,True
pandaria kabirdham,True
ryali,True
jhanjharpur rs,True
raja sansi,True
kampur,True
biswan,True
basudebpur,True
ainavilli,True
athni,True
munagapadu,True
distt shamli,True
chazhoor,True
sadulshahar,True
simlapal,True
assonora,True
bairgania,True
loni ghaziabad,True
sheohar,True
jakhalmandi,True
nagri kalan,True
dinabandhunagar,True
kathghariya,True
nimbhore budruk,True
chabua,True
adyal,True
nepanagar,True
rupangarh,True
patoda,True
yol,True
elayavoor,True
lingsugur,True
bamor,True
banasthali,True
westparasi,True
srivilliputtur,True
bijuri,True
mandrem,True
kalavoor,True
anupgarh,True
sangameshwar,True
bhatgaon,True
"loni, ghaziabad",True
distt.shimla,True
pedapalli,True
