ship-city,count
tnpl pugalur,True
portbair,True
sarwar,True
chi,True
ambernath west,True
taliegao,True
sarona,True
lalganj azamgarh,True
champa,True
keelamanjakudi,True
kasibugga,True
kanchikacharla,True
kalladaikurichi,True
thane(w),True
biknoor,True
srirama colony,True
maniyur,True
sankra,True
champua,True
kongorpilly,True
tapovan laxman jhula rishikesh,True
yellanur road tadpatri,True
erumappetty,True
kalwari,True
boinchi,True
aspur,True
hyhyderabad,True
alappuzha harippad,True
natthuwa wala,True
badsar,True
bheem,True
koperkhairane,True
atru,True
baga,True
roshnabad,True
pudukad,True
dabi,True
adarsh,True
heroor,True
vadugapatti,True
katigorah,True
paithan,True
p. o. cherpu,True
"betim,  bardez",True
banmankhi bazar,True
dehu cantt civil township,True
pandavapura,True
godavarikhani,True
kandanassery,True
tindivanam villupuram district,True
koyilandy,True
silvasaa,True
labhpur,True
pedaamiram,True
vedurupaka,True
ripponpete,True
kowkoor,True
kulasekaram,True
sagalee,True
ala,True
nellorenellore,True
kathiar,True
phirangipuram,True
ellenabad,True
tripunitra,True
kadaba,True
bhilai charoda   dist,True
goindwal,True
pakwara,True
dachepalli,True
karimanagar,True
alwarpet,True
thiruvidaimarudur,True
bassi pathana,True
beyond,True
sivagangai,True
kanuru,True
haveli,True
cherrapunji,True
arnia,True
chentrappinni,True
yoi cantt,True
mohanur,True
kothavalasa,True
thirvallur district,True
electronic city phase,True
