ship-city,count
thongkhong laxmi bazar,True
banur,True
chakrata,True
ambalapuzha,True
valsaravakkam,True
ujire,True
badnagar,True
kilvelur,True
chandil,True
dhasai,True
rupra road,True
daurala,True
rajgarh churu,True
nilagiri,True
jogbani,True
sara industrial estate,True
ahmedanagar,True
omalur,True
kaggalipura,True
kanagal,True
uppalaguptam,True
nazerath,True
devrukh,True
manipura dendoorkatte,True
thirukazhukundram,True
halishar,True
sandila,True
kevadiya,True
jayankondam,True
narsingarh,True
kadugodi,True
dhamnod,True
kannadiparamba,True
madhugiri,True
sukhrali sec,True
erattayar,True
"bhamragad, gadchiroli",True
city & mandal : koratla ;(district: jagtial dist.,True
mount abu,True
balarampur,True
. p. m. b sarani,True
laksar,True
vriddhachalam,True
goredi chancha,True
vilanthai,True
ratanpota,True
kuttemperoor,True
guruvayoor,True
kondur,True
corlim,True
yendada,True
kadambathur,True
basudevpur,True
alampur,True
tola mansaraut,True
vellichantai,True
kulanada,True
merta,True
manjummel,True
barahat,True
goliyangdi,True
district:,True
sukdal,True
yenamadurru,True
khirkiya,True
girinagar,True
new ashok nagar,True
tanalur,True
arasu,True
bidasar,True
khekada,True
thrikkaruva,True
wadhwan,True
gormi,True
arpora,True
swarupnagar,True
junga,True
banumukkala,True
chharchha,True
mokama,True
kushberia,True
komalapuram,True
matelli,True
naharlgun,True
tirumangalam,True
gangapur,True
