ship-city,count
"nani daman,daman",True
valathur,True
ramgarh cantonment township,True
ghatsila,True
maihar satna,True
kamorta,True
barhaj,True
mulur,True
akathiyoor,True
baliya,True
bari,True
zirakhpur,True
north paravur,True
jagiroad,True
nutakki,True
kovoor,True
amlai,True
duvvur,True
koteshwar,True
kodungalur,True
sangrampur,True
kuttanad,True
jansath,True
dharapadavedu,True
thirupparankundran,True
maham,True
kutukuluru,True
seoni malwa,True
rangaareddy,True
peralam,True
kallambalam.o,True
chikamagalur,True
talaja,True
anjangaon surji,True
Dehradun,True
padampur,True
lucknown,True
hanskhali,True
benipur,True
nhangattiri,True
thrithala,True
rajasunakhala,True
thiruvottiyur,True
shankarpuri,True
sariya,True
behat,True
sonebhadra,True
nandura,True
maheshpur,True
jogindarnagar,True
gr. noida,True
sarmathura,True
godavari,True
khodiyar,True
murmadi,True
jainoor,True
nagalapuram,True
thirupuvanam sivaganga district,True
pangode,True
laxmi nagar,True
gogunda,True
porumamilla,True
dahanu west,True
lawngtlai,True
koppam,True
chhachhrauli,True
"kothrud,pune",True
karatagi,True
garbeta,True
pachore,True
naigoan,True
thergoan,True
nathampannai,True
gola cholapur varanasi,True
kalinagar,True
meerut cantt,True
jais,True
kumbabad,True
peddamaddhuru,True
avittathur,True
kaniyur tiruppur district,True
puliyur,True
kodoli panhala,True
kakdihi,True
malad west,True
thookkanaikampalayam,True
