ship-city,count
qutubullapur,True
thirumalairayan pattinam,True
mannanchery,True
dudahi,True
nandhaluru,True
manglaur,True
shirthady,True
kirpind,True
vedaranyam,True
di,True
kundam,True
ujhani,True
paderu,True
hebri,True
pomburpa,True
faridpur,True
nazirpur,True
near district jail,True
peddapally,True
nasiyanur,True
narasaropet,True
okha,True
gardhiwala,True
chelari,True
hanuman nagar,True
sojat city,True
aluru,True
muttam,True
vakadu(m,True
mehgaon,True
nalikul,True
tekulapalli,True
opposite to sri mookambika temple kollur,True
puthuparamba,True
madanapalli,True
byadgi,True
panangad,True
bhogapuram,True
anaimalai,True
madanpur rampur,True
shivmogga,True
garodoba,True
kedgaon,True
khaperkheda,True
neelbad,True
gidi,True
serampur,True
khutar,True
balichak,True
revdanda,True
devarkadra,True
udyogamandal,True
seraikella,True
thakurdwara,True
t.narasapuram mandalam,True
farrukh nagar,True
hindaun city,True
bikram,True
choppadandi,True
merrut,True
mohpa,True
irakasandra,True
maudaha,True
ladwa,True
kemri,True
ramapuram,True
mundlamuru,True
umreth,True
orang,True
"barh, patna",True
kulasekharapuram,True
kantabanji,True
chhaprauli,True
gogipeth,True
venjarammoodu,True
sahibzada ajit singh nagar,True
tallapudi,True
bethuadharai,True
sundernagr,True
bilhaur,True
shiggoun,True
nangavalli,True
kunkuri,True
ledo,True
keeranoor,True
