ship-city,count
navanagar bagalkot,True
ferozpur cantt,True
elanji p.o,True
barabungallow,True
malbazar,True
pathardi,True
sirsiya,True
nawkothi,True
naya baradwar,True
"mettur, salem",True
school line,True
sakhinetipalli,True
ntpc dadri,True
jat,True
gorumahisani,True
kaikaluru,True
cepz,True
alnavar,True
boko,True
thirumanagalam,True
sahawar,True
agarwada,True
kechery,True
narela,True
tulsipur,True
jajur,True
kaprain,True
manendragarh,True
lateri,True
"madhapur, hyderabad",True
midnapore,True
teh. dharamshala,True
sidco industrial estate badanguppe kellambali,True
shahganj,True
vellayani po,True
veerappanchatiram,True
mavelikara,True
manavalassery,True
kannod,True
ponneri tk,True
bahaduargarh,True
khair,True
jamadoba,True
kathlal,True
annamanada,True
pune yerwada,True
nasrullaganj,True
madapura,True
saharsha,True
kapikad kinnigoli,True
gaur city,True
kinnigoli post talipady,True
"prem nagar, port blair",True
suriyawan,True
perintalmanna,True
casne,True
kidangoor,True
chainpur,True
kilapavoor,True
dapodi pimpri chinchwad pune,True
purbo burdwan,True
bajna,True
andhari,True
naduvaneri,True
belda,True
gotegaon (dist,True
lonand,True
nandgaonpeth midc,True
ghansoli gaon,True
bhagya nagar,True
tirumakudal narsipur,True
kesarval,True
jamner,True
bagaha,True
kaman,True
kullukullu,True
ranapur,True
duttapukur,True
kim,True
mandi gobindgarh,True
cherupuzha,True
sampla,True
diyun,True
fhatehpur,True
sarkaghat,True
