ship-city,count
kannad,True
chalisgaon,True
ongallur ii,True
mohal,True
papparapatti,True
devikulam,True
chekkanoorani,True
panskura,True
manjhana,True
thoppippala,True
churhat,True
galsi,True
thrikkakkara,True
penumur,True
raxaul,True
bandipur,True
chungam,True
ramgarh cantt,True
sekmai bazar,True
rukadi,True
halashi,True
nai ledri,True
sukhia pokhari,True
oodlabari,True
songadh,True
bandhbahal,True
jhakhri,True
niyotni,True
pandalkudi,True
kumaragiri,True
kannamangalam,True
bhattanagar .liluah .howrah,True
dhanyakuria,True
rayachoty,True
moujpur new delhi,True
puthoor,True
"harur (tk), dharmapuri (dt)",True
saoner,True
chik,True
nit faridabad,True
bailhongal,True
near kaushalya vatika nh,True
pathanamthitta district,True
sukma,True
andal,True
kawai,True
atreyapuram,True
jobat,True
marihan,True
kulada,True
talwandi sabo,True
amrath,True
raya,True
charhi,True
kadikkad,True
lakheri,True
balussery,True
ampati,True
binpur i,True
mallawan,True
joginder nagar,True
sarsawan,True
vipin,True
awantipora,True
rallaguda,True
raipur bazar,True
eramalloor,True
chaul,True
near vighnaharta ganesh mandir,True
thirupporur,True
thazhakara,True
mumbai.,True
sarairanjan,True
hejamadi,True
bagodar,True
banga,True
nilgiris,True
kognoli,True
venmony,True
digapahandi,True
bishnugarh,True
williamnagar,True
camurlim,True
talegaon dhamdhere,True
"mambakkam, chingleput dist",True
