ship-city,count
i polavaram,True
malapuram,True
indrapuri,True
muthupet,True
"mohli, dharamshala",True
vazhayur,True
jalaun,True
mulgund,True
tirutani,True
narendrapuram,True
ghanpur,True
ladwa state,True
vattapoyil,True
gautam budha nagar,True
padiyam,True
manjlegaon,True
pimpri gav,True
edulamustoor,True
arvi wardha,True
barapali,True
ambernath east dist thane,True
ramanujganj,True
neelipudi,True
machhali shahar,True
bhilai durg,True
uska bazar,True
ichak,True
"rourkela , dist",True
sankrail,True
borawar,True
supane,True
ayothiapattinam,True
chikode,True
meham,True
sindkheda,True
byatryanpura,True
gaulapar,True
kisanganj,True
paharpur,True
bhayander,True
siana,True
teghra,True
panch mahals,True
bhitarwar,True
chikiti,True
bellare,True
jamda,True
mangalbari,True
yeldurthy,True
kovvuru,True
sanoor,True
vadakankulam,True
santuri,True
pebbair,True
chatrapatti,True
amarkantak,True
jandiala guru,True
kovaya,True
kumarkhand,True
mulky,True
rajpur,True
chandragiri,True
nellyadi,True
neemkathana,True
khanivali,True
elakamon,True
tekanpur,True
madhupur,True
thallarevu,True
khoardanga,True
sonatikiri,True
manwath,True
ranipool,True
thimmanapalem,True
ranikor,True
lanja,True
buttayagudem,True
shamlaji,True
gangarampur,True
behrampur,True
post office,True
channgiri,True
gopalnagar,True
nandapur,True
vipparru,True
