ship-city,count
nawabganj gonda district,True
kalna,True
dera bassi industrial area mohali,True
kotekar,True
varanai,True
manjhanpur,True
p.gannavaram mandal,True
dhekiajuji,True
kolkatal,True
selsella,True
narkatia,True
mankapur,True
dombivalli,True
pungdongbam makha leikai,True
kataiya,True
bedi,True
dokmoka,True
naya raipur,True
neura pequeno,True
sanvordem,True
sevagram,True
satwas,True
puranpur,True
vadakkanandal,True
"kottakkal, malappuram",True
rudranagar,True
mukanpur,True
lakhni,True
samayapuram,True
mangapur,True
bandoan,True
hatkanangle,True
amdanga,True
ukhra,True
laundi,True
dharmaj,True
mumbai mumbai,True
balehonnur,True
maigal ganj,True
behea,True
ponmanai,True
at,True
nizar,True
nandurbar district,True
barhi,True
gossaigaon,True
banaganapalle,True
raver,True
solamadevi,True
kundli,True
palakkarai,True
ugar khurd,True
kalkulam,True
aalo,True
bopodi,True
thiruvarambu,True
siddhaur,True
waghai,True
waidhan,True
kanti,True
sukhsar,True
bhojpur,True
egattur,True
harindanga,True
bela,True
nimapada,True
islamnagar,True
choornikkara,True
sanjan,True
barara,True
rayaparthi,True
morjim,True
vedanta,True
dharni,True
alwarkurichi,True
pandamangalam,True
perungalathur,True
bhikhiwind,True
bijainagar,True
kunda,True
perundurai,True
khargupur,True
nagod,True
mansurpur,True
arkalgud,True
