ship-city,count
lavasa,True
mundiyeruma,True
vellangallur,True
madathukulam,True
chandrakona,True
meenadom,True
palakurthy,True
lepetkata,True
pulamanthole,True
gangakhed,True
nichlaul,True
humnabad,True
jahanabad,True
kudra,True
jamugurihat,True
bhainsdehi,True
gokarna,True
koithoorkonam,True
nellikuppam,True
akole ahmadnagar district,True
belgharia nimta,True
satyavedu mandal,True
"bodinayakanur, theni dt",True
"mulund, east mumbai",True
dhupguri,True
hirakud,True
narla,True
kalladikkode,True
raha,True
marteru,True
bandarulanka,True
tarnaka,True
kurmannapalem,True
ghodegaon,True
hanumakonda,True
pandripani,True
balimela,True
mahad midc,True
kuzhupilly,True
valvaithankoshtam,True
baliapur,True
ramganjmandi,True
bahadurpur,True
"mumbai, mulund (w",True
korochi,True
sihora,True
bhiwapur,True
jattari,True
"nannambra,( po",True
ichoda,True
dubbak,True
mathabhanga,True
raghunalhi bcmc layout,True
bhor,True
kashimnagar,True
elettil,True
shravasti,True
vannappuram,True
khalapur,True
mekkamandabam,True
melmaruvathur,True
chalakkal,True
middha,True
chelpur,True
supa midc,True
elchuru,True
thondi,True
gurmatkal,True
dostpur,True
shiroda,True
charummoodu,True
ausa,True
rajbalhat,True
adambakkam,True
trikaripur,True
ramghar,True
"neral east, karjat raigad",True
nagbhid,True
kuppepadav,True
milakpur,True
panikoili,True
pachmarhi,True
cheranmahadevi,True
lakhnadon,True
manpur,True
panchpara,True
