ship-city,count
mursan,True
thiruvannamalai,True
tambaram chennai,True
kollengode palakkad,True
sikandra,True
bhimtal,True
adityana,True
gmr power plant kmalanga township,True
new delhide,True
melli,True
munagala,True
chaumuhan,True
santhamaguluru,True
chakluwa,True
kundarki,True
likabali,True
zakiesato,True
nooranad,True
nandej,True
goura,True
tsundur,True
tilda,True
panitola,True
mehandipur,True
cherukolpuzha,True
moti bhoyan,True
kanhan,True
morazha,True
nk sweets vikasnagar,True
palurgada,True
padoor,True
podili,True
rawalsar,True
tiruchanur,True
mannancherry,True
prakasam,True
gola,True
basoda,True
chigur,True
sahaswan,True
gopalapuram,True
malshiras,True
veiloor,True
kizhuvalam koonthalloor,True
bhiloda,True
athvelly,True
gangnapur,True
pedapadu,True
kumardhubhi,True
kharora,True
kalasapakkam,True
thiruvallom,True
ron,True
pirawa,True
maslandapur,True
sangam,True
paramathi,True
saiyad raja,True
varthegundi,True
silapathar,True
umbargam,True
junglighat,True
allagadda,True
bharsingi,True
jamakhandi,True
kolimigundla,True
nagla,True
udangudi,True
masi,True
miran sahib  jammu,True
kartarpur,True
hansari jhansi,True
thiruchendur,True
raninagar ii,True
nermand,True
lalkuan,True
nalasorapra (e,True
vaddeswaram,True
athur,True
vedasandur,True
yernagudem,True
bhakali,True
lilia,True
fatehgarh churian,True
korutla,True
balikuda,True
