ship-city,count
azara,True
gua,True
chennimalai,True
manadan house,True
pampady,True
manamadurai,True
dharmaram karimnagar district,True
siddharthnagar,True
bikapur,True
kanakammachathram,True
rahui,True
thiroor,True
rayabhupalapatnam,True
mydukur,True
old mathigiri,True
murtajapur,True
dhanori,True
vikramasingapuram,True
maruthancode,True
todabhim,True
allapalli,True
tri nagar,True
amtady,True
dhar kalan,True
khapat,True
damdim,True
pandaria,True
bajpe,True
puvalur,True
champaran,True
hanumangarh junction,True
kadapra niranam,True
kalapatti,True
mallanwala khas/ferozepur,True
kandhar,True
mummidivaram,True
kalady,True
perambra,True
baithalangso,True
elgaid,True
kallakuruchi,True
kalugumalai,True
kazipet,True
nallur tirunelveli district,True
sagore dist.dhar,True
my home industries pvt ltd,True
misrikh cum neemsar,True
kathiatoli,True
sahaspur,True
khedbrahma,True
krishnapur,True
panniyannur,True
gundimeda,True
naduvattam,True
doimukh,True
thuckalay,True
sironj,True
parola,True
kondepi,True
shanivarsante,True
pedaparupudi,True
deglur,True
dogadda,True
jorapokhar,True
silvasa,True
srirangapatna,True
vazhakulam,True
hanumanthan patty,True
ghatkesar,True
kaloor,True
koovalaseery.p.o,True
sant kabirnagar,True
makavarapalem,True
tarabganj,True
p.o.chirakkal,True
jaijaipur,True
kotdwar,True
opp tata motor.ajmera,True
silvass,True
kanumolu,True
muthi,True
new barrackpore,True
dolvan,True
vadamalpet,True
mannarkkad,True
