ship-city,count
undi,True
zuari nagar,True
marhaura,True
shivai nagar,True
"perumbakkam, near chettinadu villa",True
biramitrapur,True
chickaballpur,True
dhariawad,True
saligrama,True
mhow gaon,True
puthenpally; guruvayoor,True
kollakadavu,True
nereducharla,True
"nilambur p o , malappuram",True
kalamasserycochin,True
nakkapalle,True
huliyar,True
bharatganj,True
badmal,True
alto dabolim,True
churchugundi,True
dowleshwaram... rajahmundry (r,True
noida. gautam buddh nagar,True
allahganj,True
"poovattuparamba, perumanna (po",True
new chennai,True
koduru,True
thane.  mumbra,True
cherial,True
gharshankar,True
awalpur,True
dugda,True
orgao,True
palavalasa,True
chevuturu,True
thergaon,True
"n l road, dimapur",True
duldula,True
paripally,True
wadrafnagar,True
vypin,True
dhanaulti,True
simga,True
velankanni,True
gingee,True
thazhecode,True
kanathur,True
vandavasi,True
hanagandi,True
rasol,True
olaulim pomburpa,True
budamangalam,True
khirai,True
eramala,True
todaraisingh,True
chinnaveerampatti,True
champakulam,True
unnamalaikadai,True
"nagaon , north haibourgaon",True
penamaluru,True
wadakancheri,True
sonada,True
ballikurava,True
dighwara,True
pulivendhula,True
dhuliyan,True
seelanaickenpatti,True
rajakkad,True
ludhianaludhiana,True
mendhar,True
"pimple saudagar,  pune",True
patiram,True
keshampet,True
ithepalli,True
nababpur,True
sonai town,True
bidhuna,True
kalakote,True
luxettipet,True
pipraich,True
mullanpur,True
cherukavu,True
masturi,True
poovachal,True
dhatrigram,True
laharighat,True
