ship-city,count
manasa,True
vijalpor,True
"mehadipatnam ,hyderabad",True
pedapadu mandal,True
bansi,True
dhaniakhali,True
akash,True
damua,True
hulsoor,True
kakdwip,True
chettipalayam,True
new perungalathur,True
gantyada,True
govindpuram,True
oragadam,True
chitvel,True
nandgaon,True
nawagarh janjgir,True
hyderabad secunderabad,True
bommuru rajahmundry,True
surajgarha,True
mendipathar,True
kotulpur,True
adajan,True
baberu,True
amlohri,True
bansdih,True
vpo,True
vidyanagar,True
gollaprolu,True
medziphema,True
pasan,True
tehatta,True
pallikkal,True
munderi,True
chamoli,True
kalanad,True
mitrol,True
vikramgad,True
kodarma,True
"pala, kottayam",True
chennithala,True
"bhakali, rewari",True
shedbal,True
anakkayam,True
chhaya,True
madavoor,True
madgaon,True
mowad,True
vrindavan     {mathura},True
pihani,True
bodeli,True
vasant,True
ambagarh chowki,True
arakandanallur,True
hajo,True
shela,True
valavanur,True
chandurbazar,True
chittranjan,True
kotabammali,True
rengali,True
sankari(t.k,True
madappally college,True
"bapunagar,ahmedabad",True
pulikkal,True
ranipur,True
ponneri. chennai,True
darjiling,True
dhanualti,True
uthukuli,True
padubidri,True
titilagarh,True
"ramapuram, pala, kottayam",True
janipur,True
kalpakkam,True
kuruli,True
chettuva,True
tikarpada,True
muthur,True
narpatganj,True
chipurupalle,True
saligram,True
"rajpur sonarpur ,kolkata ,india",True
dombivli east  thane,True
peroorkada po,True
