ship-city,count
gargeswari,True
chentrappini,True
ballabhgarh,True
murugeshpalya bangalore,True
musheerabad,True
chinnathadagam,True
kharkhari,True
karari,True
sitarampur,True
jalalabad shamli district,True
vishakhapatnam,True
garugubilli,True
beliatore,True
sonatala,True
chincholi,True
ghumarwin,True
dombivli (w,True
bholar dabri,True
trimbak,True
devanur,True
kandanadu,True
salbari,True
near shauchaley,True
kozhippilly parashalappady,True
kottagoundampati,True
"kadri, mangaluru, dakshina kannada (d",True
kymore,True
atul dist. valsad,True
thaikkattukara,True
madukkur,True
sirka,True
dogachhia,True
banapur,True
bhandup,True
taj nagri phase,True
appakudal,True
kuthanallur,True
dhulasimla,True
bomdila,True
chiniyalisaur,True
katrenikona,True
bhagha purana,True
bangalore city,True
madathukulam po,True
kamatchipuram,True
sion,True
jeelugu milli,True
kharod,True
machhlishahr,True
alaipur,True
gairsain,True
dubbak peddagundavelli,True
devakottai,True
vijaypura,True
hanmakonda,True
naini,True
chebrole,True
periyakodiveri,True
kayatharu,True
swamimalai,True
vanagaram,True
patharberia,True
vandiperiyar,True
budni,True
thenhipalam,True
sanganapuram,True
"eratupetta,kottayam(district",True
endada/vishaka patnam,True
kahnuwan (gurdaspur,True
district,True
sundrel,True
bordi,True
pukhrayan,True
chand,True
satghara,True
swaroopganj,True
west singhbhum,True
hotar,True
dakra,True
anta city,True
bishrampur,True
karnawal,True
bamora,True
uttarnayabad,True
kathar,True
"mettur,salem",True
