ship-city,count
bhubaneswarb,True
kamalapuram,True
sulakkarai,True
jawalamukhi,True
bhisiana,True
clappana,True
park city,True
mangalwedha,True
baloh,True
mangon,True
andar,True
makthal,True
khumani chowk,True
hirapur,True
nandikotkur,True
borai,True
peramangalam,True
shakti nagar ntpc township,True
thundalam,True
khansahib,True
pothavaram,True
sancoale,True
irala,True
mukkam,True
alirajpur,True
dobiwali,True
premgadh ta. jetpur,True
palghar( east,True
ichhawar,True
tottakkattukara aluva,True
salon,True
bankapura,True
nelamangala bangaluru,True
athani,True
palari,True
sonitpur,True
edachira,True
durah,True
"palayamkottai ,tirunelveli",True
falkawn,True
hutmura,True
kiraoli,True
kakimada,True
puthanathani,True
koothuparamba,True
kottapuram po,True
mahad (raigad,True
mahalingpur,True
jalundh khambhat,True
badlapur road,True
mumbai's,True
ariyalur d.t,True
srungavarapukota,True
hingna/nagpur,True
vanavasi,True
umargam,True
anil neerkonda hospital,True
zionpuram,True
kasol,True
deralakatte/ mangalore,True
sahatwar,True
vennandur,True
gopiganj,True
kalayn,True
darbhnga,True
vayasanagar,True
kattangal,True
"patto,  panaji",True
jengjal waribok,True
beltola guwahati,True
bhoranj,True
"navarkulam, lawspet",True
sultanganj,True
deganga,True
haleangady mangaluru,True
bachupally,True
ambad,True
daddi,True
dhalavoipuram,True
"pattambi,palakkad",True
rajarhaat,True
kurattikadu,True
shaktigarh,True
p.o chettipadi,True
"perumbavoor,maruthukavala",True
amangal,True
