ship-city,count
arumanai,True
umarkhed,True
tittakudi,True
agorpara,True
rajmahal,True
kandikandi,True
hauz khas,True
banagalore,True
"raghunathpur, purulia",True
nagpur city,True
alappuzha district,True
vadali,True
narayankhed,True
egarkunr,True
raisinghnagar,True
alleppey,True
kalyan w dist thane,True
"naini, allahabad",True
tikabali,True
ajekar,True
amgaon,True
peyad,True
balugaon,True
malnaka ratnagiri,True
suleeswaranpatti,True
kurkheda,True
adityapur,True
panpoli,True
gudlavalleru,True
janjgir champa,True
sivagiri,True
vasad,True
sainik school,True
akkalkuwa,True
muttayyapuram,True
noidanoida,True
iffco,True
ambegaon,True
asind,True
haroa,True
baben,True
panipat road,True
"mainaguri, jalpaiguri",True
chandrupatla,True
fatehpur pundri,True
shirhatti,True
bagda,True
tanaloor,True
sidhpura,True
n.paravoor,True
seithur,True
ambarnath (west,True
thilaspet,True
lakhna,True
aranthangi,True
sakhinetipalle,True
miraroad,True
kalady ernakulam district,True
seawood east navi mumbai,True
kolar gold fields,True
kotananduru,True
jp nagar,True
moodubelle,True
"belgharia,kolkata",True
bhojipura,True
rampur bushahr,True
fatehpur district,True
buhana,True
gomoh,True
kadapara,True
"udhampur ,jammu kashmir",True
thane central,True
kaghaznagar.,True
trivarndrum,True
bangarupalyam,True
mudipu,True
"north paravur,ernakulam",True
timiri,True
"maniyankuzhi, kanyakumari",True
mecheri,True
rasagobindapur,True
ghorawal,True
sikta,True
barsur,True
rayagiri,True
sethiathoppu,True
