ship-city,count
beas,True
jagasinghpur,True
panathur,True
kotma,True
jhingurda,True
hadapsar,True
vadavali,True
dagshai,True
argul,True
chegunta,True
limdi,True
lamlai,True
chelannur,True
kadamakkudy,True
surandai,True
asarganj,True
mylaudy,True
satpuli,True
naubatpur,True
nandi,True
modak,True
charama,True
nagarbasti,True
elappara,True
kauntarpur,True
basudebpur murshidabad district,True
kuttipuram,True
mallanwala,True
vadnagar,True
thrikakkara,True
puliyampettai,True
tatasu mazadi,True
koraon,True
"patas , district daund, puna",True
mallappally,True
rajar hat,True
udala,True
nungambakkam,True
kadayanallur,True
gariyadhar,True
dstr,True
carmona,True
wankaner,True
kazhakoottam,True
gautam nagar,True
usar,True
paranda,True
pithampur,True
madikonda,True
kurundvad,True
nilanga,True
kanjikode,True
kosli,True
panoli,True
purbo medinepur,True
bighapur,True
methermia,True
silliguri,True
purusottampur,True
rampura,True
muthukadu,True
karamuck,True
kayankulam,True
bihta,True
thoraipakkam,True
derapur,True
bihar sharif,True
inderavelly,True
lakhani,True
bilsi,True
po,True
kuruppapady (via,True
basudebpur/bhadrak,True
okhaport,True
"ankleshwar, dist",True
kalyan (east,True
balumath,True
"khadki,pune",True
range reddy dist,True
mithapur,True
haringhata,True
nanded maharashtra,True
kalchini,True
madangad,True
goalghar port blair,True
nevasa,True
