ship-city,count
marathakkara,True
alangayam,True
mahe,True
baikunthpur,True
wazirabad,True
muttukuru,True
koheda,True
kanjikkuzhi,True
barmana,True
"ullal, deralakatte",True
thiruvananthpuram,True
ratanpur,True
razam,True
sonpeth,True
kherwara chhaoni,True
kaimur,True
calicut,True
c.c.c naspur,True
hapoli,True
shahabad hardoi district,True
chirch,True
jaitu,True
manalurpet,True
"banaswadi, bengaluru",True
thallapalem,True
vadalur,True
bopal,True
sagri,True
velachery,True
mahagma,True
miranpur,True
mehidpur road,True
amadalavalasa,True
tirodi,True
bareja,True
koothanallur,True
khairabad sitapur district,True
leimakhong,True
usmanpur,True
alawalpur,True
dhubulia,True
imphacity,True
ghoghardiha,True
mahagama,True
borka,True
neeralagi,True
panisagar,True
dudhi,True
kondapuram,True
ghughuli,True
payambra,True
thiruninravur,True
edat,True
palus,True
tharangambadi,True
palasbari,True
dharangaon,True
uttar madarihat,True
puthukdai,True
kaveripakkam,True
tagarapuvalasa,True
thiruvallam,True
pulimath kilimanoor,True
jaitpuri patelpara,True
pampore,True
kandra,True
waknaghat,True
vagra,True
ellora park,True
narsapur,True
gotan,True
mathurapur,True
tisk,True
sopore,True
atkot,True
surathkal,True
sirmaur,True
vittal,True
parasuvaikkal,True
"navi mumbai,thane",True
kalghatgi,True
jhanjharpur,True
brg shangri,True
bareli,True
patalganga,True
addision,True
